id|division|disease|name|composition|dose|indication
44|传染科|肺结核|紫衣蒜抗痨方|紫皮蒜若干。|生蒜与饭食共吃，每顿饭2头，连续吃20天。|肺结核。此方亦可用于痢疾。
45|传染科|肺结核|白芨蒜米粥|白芨粉6克、大米50克、紫皮蒜2头。|将米与白芨放水屮煮成粥，蒜剥去皮成瓣，放粥中再煮几沸停火，早、晚空腹食。连用1月余。|肺结核。
46|传染科|肺结核|姜蒜猪肺汤|干姜10克、大蒜1头、猪肺250克。|文火煎煮猪肺及姜、蒜，煎烂为加适量调料空腹食肺饮汤。|肺结核。
47|传染科|肺结核|罗汉果猪肉汤|罗汉果半个，陈皮9克、山药9克、猪瘦肉100克。|上几味共煮汤，饮汤食肉。每日2次，连服1个月。|肺结核。
48|传染科|肺结核|南杏羊肺汤|羊肺250克、南杏30克。|上二味水煎服。并食其药。每日1剂，分早、晚服。连续用1个月。|肺结核。
49|传染科|肺结核|鳗鱼汤|鳗鱼250克。|将鳗鱼加适量水煮熟，取汤500克。不调咔，每日1次。连用1个月。|肺结核。
50|传染科|肺结核|菜油白果|白果，牛菜油适量。|取中秋前夕半卡半熟的内果浸于油中，百日后即可食用。早、中、晚各空腹服1粒。连用1个月。|肺结核。
51|传染科|肺结核|百合汁|野百合3个。|将其洗净捣汁，温开水送服。每日2次，连用20天。|肺结核。
52|传染科|肺结核|银耳猪肉汤|银耳克、猪瘦肉100克、鱼肝油10滴。|前二味共煮成汤，熟后加鱼肝油，附少量调味品。每日2次，饭前服。|肺结核。
53|传染科|肺结核|蛤蜊炒韭菜|蛤蜊肉、韭菜(韭黄)适量。|上二味油妙后调味食。可常服。|肺结核。
54|传染科|肺结核|河车虫草煎|紫河车1具、冬虫夏草10克。|上二味炖食。每日吃1剂，可分次服。连用1个月|身体衰弱荇服食。
55|传染科|肺结核|百芪鳖肉汤|鳖鱼250克、北芪、百部、地骨皮各15克、生地20克。|上几味共煮为汤，饮汤食肉。每日1剂，早、晚两煎空腹服。连用半月〜1个月。|肺结核见潮热、咳嗽者。
56|传染科|肺结核|姜蜜葛粉饮|姜汁、蜂蜜、葛粉各1汤匙。|将上三味混匀，开水冲服。每日3次，饭前和睡前服。连用1个月。|肺结核。
57|传染科|肺结核|胎兔散|胎兔若干。|将胎兔搅碎、烘干、研细粉。每日3次，每次10克。开水冲服。连服半年|肺结核。
58|传染科|肺结核|二地蜜膏|生、熟地各200克、蜂蜜250克。|将生、熟地加水5碗，文火煎煮取浓汁，再入蜂蜜熬成膏状。每日2次，每次50克。慢慢含化咽下。|肺结核。
59|传染科|肺结核|瓜藤猪肉煎|南瓜藤60克、猪肉120克、白糖适量。|将上二味煎汤，加白糖，食肉饮汤。每日1剂，连用1个月。|肺结核。
60|传染科|肺结核|大蒜齿苋茶|马齿苋250克、大蒜1头。|将二味煮汤代茶饮。每日1剂，连用1个月。|肺结核。
61|传染科|肺结核|百芨菜籽散|菠菜子1500克、白芨1000克、百部500兔。|上三味共研细末。每日3次，每次取10克。饭后服。连用2个月。|肺结核。
62|传染科| 急性传染性肝炎|二味煎子|平地木50克、红枣10个。|上二味水煎，每日1剂两煎，分早、晚服。连服30天。 |急性肝炎。
63|传染科| 急性传染性肝炎|黄酒葡根肉|野葡萄根100克、黄酒1匙、瘦猪肉100克。|上几味加水适量。上午煎后饮汤，下午煎后饮汤食肉，服用1个月。|肝炎。
64|传染科| 急性传染性肝炎|泥鳅解毒方|豆腐100克、玉米须30克、活泥鳅250克。|将玉米须布包，与另二味共置于砂锅内煎煮，熟厄去玉米须，放少许调味品，每日服1次，连用半月。|急性肝炎。
65|传染科| 急性传染性肝炎|黑矾油糕|黑矾200克、面粉150克。猪板油200克、去核去皮大枣10个、胡桃仁7个。|将以上几味混在-起，搅匀。每日3次，每次取10克。服至康复。|肝炎
66|传染科| 急性传染性肝炎|糖花生红枣饮|红枣、花生米（带红衣）、冰糖各50克。|将花生米和红枣煮熟，再放冰糖少煮片刻。每日1剂，睡前服。连用1个月。|急性肝炎。
67|传染科| 急性传染性肝炎|煨香鲤鱼|大鲤鱼1条。|将鱼去内脏不去鳞，火中煨熟分次食之，可常服。|可作肝炎的辅助治疗。
68|传染科| 急性传染性肝炎|红花菜煎子|鲜红花菜70克。|将红花菜水煎，每日1剂两煎，分4次服。连用半月。|肝炎。
69|传染科| 急性传染性肝炎|瓜蒂浸汁饮|5%的甜瓜蒂浸出液.|每日2次，饭后口服。成人每次5〜7毫升。3岁以下口服1毫升。12岁以下服2毫升。15岁以下服4毫升。|肝炎。
70|传染科| 急性传染性肝炎|清炖田螺|大田螺若干、黄酒30克。|将田螺去泥、壳，取肉入黄酒中，加清水炖熟，饮汤。每日1剂，连服两周。|肝炎。
71|传染科| 急性传染性肝炎|薏苡根汤|薏米根150克(鲜品）。|上品水煎服。每日1剂两煎，分早、晚服。10天为1个疗程。|肝炎。
72|传染科| 急性传染性肝炎|针菜根汤|金针菜鲜根25克。|上品水煎服。每日2次。早、晚分服。连用2周。|肝炎。
73|传染科| 急性传染性肝炎|田栀鸡米粥|山栀30克、鸡骨草30克、田基黄30克、粳米50克。|前三味煎煮去渣取汁，与粳米共煮为粥。空腹食。|肝炎。
74|传染科| 急性传染性肝炎|茵陈甜粥|茵陈45克、粳米30克。砂糖30克。|茵陈煎汁去渣，与粳米共煮作粥。熟后入砂糖，空腹食。每日1次。|肝炎。
75|传染科| 急性传染性肝炎|食醋解毒方|食醋。|每日3次，每次口服16毫升。同时口服复合维生素B。|肝炎。
76|传染科| 急性传染性肝炎|绿茶散|绿茶3克。|口服绿茶，每日4次，连用3周。|急性肝炎。
77|传染科| 急性传染性肝炎|蜂蜜解毒方|蜂蜜10毫升。|口服蜂蜜，每日3次。|肝炎。
78|传染科| 急性传染性肝炎|双红护肝方|红薯300克、红枣15个。|将红薯煮后与红枣同吃。每日数次。|肝炎。
79|传染科| 急性传染性肝炎|三皮煎|葫芦壳100克、冬瓜皮、西瓜皮各80克。|上三味共水煎，每日1剂两煎，分3次服。|肝炎。
80|传染科| 急性传染性肝炎|鲜蘑炒肝|鲜蘑菇50克、猪肝（羊肝）250克。|二味共炒为菜，每日至少吃1次。|肝炎。
81|传染科| 急性传染性肝炎|退黄塔菜煎|宝塔莱根训50克、积雪草50克、栀子10克、茵陈15克。|上几味水煎，每日1剂两煎，早、晚服。|肝炎。
82|传染科| 急性传染性肝炎|芜菁子散|生芜菁茉子适量。|将菜子研末，开水调服。每日3次，每次l0克。至大便泻下。|肝炎。
83|传染科| 急性传染性肝炎|马兰根汤|红根马兰根100克。|将上味水煎服。每日2次。|肝炎。
84|传染科| 急性传染性肝炎|金鳅汤|泥鳅100克、金针菜35克。|将泥鳅与金针菜水煎服。每日2次。|肝炎
85|传染科| 急性传染性肝炎|鸡骨草猪肉汤|猪瘦肉100克、鸡骨草（猪腰草）100克。|将上二味加水适量。煎3小时，去渣少调味，食肉饮汤。每日1剂，连服1周。|肝炎。
86|传染科| 急性传染性肝炎|荸荠柳叶饮|荸荠500克、柳树叶6克。|共煮汤代茶饮，食荸荠。每日1剂，连用半月。|肝炎。
87|传染科| 急性传染性肝炎|银耳杞果冰糖.|银耳20克、枸杞头25克、冰糖100克。鸭蛋1只、红枣10个。|将银耳、红枣、枸杞头失煎熟、打入鸭蛋再煎片刻，入冰糖，待糖完全溶化即可服食。|肝炎。
88|传染科|痢疾|羊油黍米粥|羊油、蜡、阿胶各5克、黍米100克。|上四味共煮作粥。|痢疾。
89|传染科|痢疾|狗肝粳米粥|狗肝1具、粳米300克。|将肝切细，与米煮粥。空腹分3次食。每食1次合吃1头大蒜。淡调味，切勿用油。|痢疾腹泻。
90|传染科|痢疾|鳝鱼粉|中型鳝鱼1条、红糖9克。|将鳝鱼去杂洗净，以新瓦焙枯和糖一起研未，开水吞服。|痢疾。
91|传染科|痢疾|葱白粳米粥|葱白3根、粳米100克。|二味共煮作粥食。调淡味，不放油，空腹食。|痢疾。
92|传染科|痢疾|姜糖糊|鲜姜70克、红糖50克。|二味共捣为糊状。每日1剂，分3次服。7天为一个疗程，空腹食服。|痢疾。
93|传染科|痢疾|姜茶饮|生姜9克、绿茶9克。|加水1碗.煎浓荼饮。|痢疾睃痛、泻下，
94|传染科|痢疾|茄干煎|白茄子干200克。|将茄子干水煎后放少许盐当菜吃。|痢疾。
95|传染科|痢疾|酒渍荸荠|荸荠若干、烧洒适量。|将完好的荸荠洗净拭干，装于瓶内，入烧酒浸入黄泥密封7天。每日3次，每次取2校细嚼服。空腹原酒服下。|痢疾。
96|传染科|痢疾|香椿煎子|香椿叶150克。|将叶子用水煎后，取汁空腹食。|痢疾。
97|传染科|痢疾|榴梨双皮饮|沙梨皮20克、石榴皮15克。|二味水煎饮。每日1剂三煎，空腹饮。|痢疾。
98|传染科|痢疾|柿饼糕|柿饼3个、粳米粉100克。|将柿饼捣烂与米粉拌和，共蒸成柿糕。成人一次服下，小儿分3次。|痢疾。
99|传染科|痢疾|橄榄汁|鲜橄榄100克、水200毫升。|入砂锅内文火煎3小时，取汁100毫升。分3次服。连用5天。|痢疾。
100|传染科|痢疾|杨梅汤|杨梅干品15克。|将杨梅用水煎。每日3次，饮汁服梅。空腹食。|痢疾。
101|传染科|痢疾|乌梅场|乌悔肉20个。|用水煎乌梅，煎剩半碗，分次服。每日1剂，空腹食。|痢疾。
102|传染科|痢疾|香梅浸膏|乌梅18克、香附12克。|乌梅压碎，与香附加水150毫升。文火煎煮，浓缩至三分之一，分早、晚空服。|痢疾。
103|传染科|痢疾|煨核仁蜜|青皮核桃若干。|将核桃放炭火中烧熟，去外皮取仁蘸蜜吃。每日3次，每次吃5个，小儿酌减。|痢疾。
104|传染科|痢疾|楂灰散|山楂肉30克。|将山楂肉与核一起烧灰，调米汤。每日3次，每次5克。空腹食。|痢疾。
105|传染科|痢疾|山楂红糖饮|山楂30克、红糖15克。|将山楂水煎熟后加红糖。每日3次，空腹食。|痢疾。
106|传染科|痢疾|豆角止痢方|绿豆角适量4|将豆角蒸熟，随意空腹食。|痢疾。
107|传染科|痢疾|盐醋水梅|盐水梅1枚、茶水、醋适量。|将盐水梅加茶及醋中。每日3次，空腹食。|痢疾。
108|传染科|痢疾|浓茶煎|好茶500克。|将茶叶研末，浓煎。每日3次，每次服100〜150毫升。|痢疾泻下。
109|传染科|痢疾|绿茶凤卵|绿茶6克、鸡蛋2只，|将绿茶研末，与生鸡蛋和匀，炖熟服之，每日2次。|痢疾腹泻。
110|传染科|痢疾|蜂蜜止痢方|蜂蜜160克。|将蜂蜜分4次，1日内空腹服下。|痢疾。
111|传染科|痢疾|半夏甜汁饮|木半夏根30克、赤砂糖适量。|将前味水煎取汁，加糖服。每1剂两煎。|痢疾。
112|传染科|痢疾|玫瑰花散|玫瑰花若干、黄酒适量。|将玫瑰花去蒂，焙燥研细未，黄酒送服。每日3次，每次服20克。|痢疾。
113|传染科|痢疾|椿根果皮散|臭椿根白皮200克、石榴果皮100克。|二者焙干研末、混匀，蜜调服。每日3次，每次10克。小儿酌减。|痢疾。
114|传染科|痢疾|齿苋苡米粥|薏米50克、马齿苋50克。生蒜1头。|二者共煮粥，每日2次，服时食大蒜。|痢疾。
115|传染科|痢疾|苦瓜汁饮子|苦瓜100克、红糖100克。|将苦瓜捣成泥状，加糖搅匀，2小时后将水滤出，1次冷服。每日2剂，连用数天。|痢疾。
116|传染科|痢疾|木耳豆腐汤|黑木耳30克、豆腐250克。|共煮汤调味服食。每日2次，连用数日。|痢疾。
117|传染科|痢疾|鱼蒜汤|鲜螂鱼500克、大蒜2头。|将鱼去鳞及内脏，肉切片；大蒜去皮。二味共煎汤，淡调味食服。每日1剂，空腹食。连用数天。|痢疾。
118|传染科|痢疾|金针齿苋汤|金针菜、马齿苋各50克、红糖100克。|上三味水煎，每日2次空腹食。连用数天。|痢疾。
119|传染科|痢疾|酸甜煎子|乌梅肉15克、橡栋叶15克、赤砂糖30克。|上二味水煎取汁，入糖服。每日1剂两煎，分早、晚服。|痢疾。
120|传染科|痢疾|茶灰散|茶叶30克。 |将茶叶烧存性，米汤浓汁送下。每日3次，每次取10克。|痢疾。
121|传染科|痢疾|凤尾苋菜汤|鲜苋菜及根80克、凤尾草50克。|二者水煎。每日1剂两煎，分3次服。|痢疾。
122|传染科|痢疾|鹅肠煎子|鲜鹅肠菜100克、红糖少许。|将上味水煎去渣。每日1剂两煎，加红糖调服。|痢疾。
123|传染科|痢疾|豆花齿苋汤|扁豆花20克。鲜马齿苋200克。|二者水煎，加少许红糖调服。每日2次。|痢疾。
124|传染科|痢疾|马齿苋散|马齿苋适量、红糖少许。|将马齿苋烧存性，研细末，以红糖水送服。每日2次。|痢疾。
125|传染科|痢疾|牛角腮散|牛角腮适量、红糖适量。|将牛角腮烧存性，研细末，每次取10克。以红糖水送服。每日3次。|痢疾。
126|传染科|痢疾|大蒜粳米粥|大蒜2头、粳米80克。|大蒜去皮，在沸水中煮五分钟，然后捞出，入米煮成粥状，每日早、晚空腹食。|痢疾。
127|传染科|痢疾|陈皮猪肾汤|猪肾1对、陈皮20克。|二味共煮30分钟，然后放花椒、食盐等调料少许。再煮片刻，空腹食。|痢疾。
128|传染科|痢疾|三汁茶饮|鲜葡萄汁50毫升、生姜汁40毫升、茶叶5克、蜂蜜20克。|以沸水冲茶叶1杯，然后入诸汁。每日2次，炖熟空腹服。|痢疾。
129|传染科|痢疾|乌梅茶|乌梅肉30克、绿茶5克、生姜12克、红糖适量。|将乌梅、生姜切碎，绿茶在沸水中煮五分钟，去渣取汁，入糖热服。每日1剂，分次服。|痢疾。
130|传染科|痢疾|乌梅散|胡椒10粒、乌梅8个、茶叶6克、红糖适量。|将上三味共研细末，红糖水送服。每日2次。|痢疾。
131|传染科|痢疾|石榴甜汁饮|酸石榴2个、蜂蜜25克。|将石榴捣烂取汁，与蜂蜜调匀，白开水送服。|痢疾。
132|传染科|痢疾|荠散椒枣汤|荠菜400克、红枣25个、花椒10克。|将荠菜焙黄研木，红枣、花椒共煮汤，去渣取汁。每次取荠菜末10克。用红枣、花椒汤送服。每日2次，连服1周。|痢疾。
133|传染科|痢疾|莙米粥|鲜菪菜400化、粳米50克。|二味合煮作粥腹食。|痢疾。
134|传染科|痢疾|鹌鹑赤豆粥|鹌鹑1只、赤豆50克、生姜10克。|将鹌鹑去毛及内脏，与另二味共煮作粥，食豆及鹌鹑。分早、晚空腹食。|痢疾。
135|传染科|痢疾|鸭蛋三药粥|生山药40克、三七6克、鸭蛋子30粒。|三七轧细，鸭蛋子去皮，几味共煮作粥，2沸即熟。每日1剂，分2次服。|痢疾。
136|传染科|痢疾|三脂葱薤粥|羊脂克15克、猪脂20克、-牛脂30克、葱白、薤白各5根、生姜9克、粳米50克。|将葱白、薤白茎切碎、洗净、微炒、捣米取10克。同其余几味共煮成粥，空腹食之。|痢疾。
137|传染科|流行性腮腺炎|菜心绿豆汤|绿豆100克、白菜心3个，|将绿豆置于锅中煮至将熟，入白菜心，再煮20分钟。分2次饮汁食豆。|腮腺炎。
138|传染科|流行性腮腺炎|冰糖炖鸭蛋|冰糖30克、鸭蛋2个。|先将冰糖在热水中搅拌溶化，待水温后打入鸭蛋搅匀，文火炖熟。每日2剂，分早、晚空腹服。连用5天。|腮腺炎。
139|传染科|流行性腮腺炎|金针菜汤|金针菜20克。|上品加水煎30分钟，调少量食盐，喝汤食菜.每日1次。|腮腺炎。
140|传染科|流行性腮腺炎|花菜冰糖煎|黄花菜50克、冰糖30克。|二者水煎，每日2次饮汤食菜|
141|传染科|流行性腮腺炎|二豆糖饭|绿豆120克、黄豆60克、白糖30克。|将豆淘净，加水煎至豆烂熟时，加搪搅匀食用。分3次空腹食用。|腮腺炎。
142|传染科|流行性腮腺炎|竹菜饮子|竹叶菜250克(鲜品）。|绞汁服。每日1剂，分2次服。连服数天。|腮腺炎。
143|传染科|流行性腮腺炎|竹筋糖煎|竹叶菜50克、筋骨草30克、白糖适量|水煎服。白糖调入，每日1剂两煎服。|腮腺炎。
144|传染科| 疟疾|辣椒止疟方|辣椒籽40粒。|将辣椒籽每天清晨空腹服下，儿量酌减，连服1周。|疟疾。
145|传染科| 疟疾|鸭龙丸|龙眼肉5个、鸭蛋了10粒。|将鸭蛋子去壳，用龙眼肉包住，饭后吞服。每日3次，连用5天。如病情得到控制，可将剂量减半。|疟疾。
146|传染科| 疟疾|常山秫米粥|秫米100克、常山20克。|先煎常山，去渣取汁，入秫米共煮作粥，空腹分2次食。|疟疾。附:体虚者禁用。
147|传染科| 疟疾|紫豉桃仁粥|桃仁30枚、柴胡10克、豆豉10克、粳米100克。|桃仁去尖去皮，柴胡、豆豉分别捣末。用豆豉、桃仁、粳米先煮粥，临熟入柴胡，搅匀，空腹食用。|疟疾。
148|传染科| 疟疾|骨皮茶叶煎|茶叶8克、鲜地骨皮50克。|二者水煎，去渣取汁，发作前3小时服下。|疟疾。
149|传染科| 疟疾|藜芦蛋卵|藜芦3根、鸡蛋1只。|将药插入鸡蛋内烧熟，去药吃蛋，在发病前2小时服下。|疟疾。
150|传染科| 疟疾|桃叶煎子|鲜桃叶60克。|上味煮水服。每日1剂，连用5天。|疟疾。
151|传染科| 疟疾|鳖甲散|醋炙鳖甲9克、黄酒1小蛊。|鳖甲研细末，用酒调服。连用3天。|疟疾。
152|传染科| 疟疾|空心菜煎子|空心莱200克。白酒适量。|用空心菜水煎后冲白酒，在发病前半小时服下，连用5天。|疟疾。
153|传染科| 疟疾|常山黄豆汤|黄豆200克、黄常山25克。|二者共水煎，饮汤食黄豆，分3次服。|疟疾。附:体弱者慎用。
154|传染科| 疟疾|常山苗煎子|常山苗20克、生姜10克。|二者水煎。每日1剂两煎服。连用1周。|疟疾。
155|传染科| 疟疾|乌梅茶|乌梅5个、冰糖50克。|二者煎汤当茶饮，|疟疾。
156|传染科| 疟疾|蒜泥酒冲剂|独头蒜7个、米酒适量。|将蒜捣烂，用热酒冲服。分2次服。每日1剂，连用1周。|疟疾
157|传染科| 疟疾|双辛饮子|大蒜2头、辣椒叶60克。|将大蒜去皮与辣椒叶共煮汤服食。每日1剂。|疟疾。
158|传染科| 疟疾|酒椒饮子|白胡椒20粒、米酒60毫升。|将白胡椒砸烂，炖熟后加米酒温服。每日1次。连服数剂。|疟疾。
159|传染科| 疟疾|猪胰馄饨|猪胰1条、吴茱萸6克、胡椒8克、高良姜9克。|将后三味焙干研末。猪胰切细炒熟，取一半和药搅匀，另一半不拌药，分别做馄饨煮熟。有药的馄饨吞服。无药的馄饨细嚼。|疟疾。
160|传染科| 疟疾|糖盐羊肉甲鱼|羊肉、甲鱼等量。|将二味加糖、盐炖熟食。每次100克。|疟疾。
161|传染科| 疟疾|羊肉馅饼|好羊肉适量。|将羊肉做馅饼，饱食之，少量饮酒。暖卧床取汗。每日2次。|疟疾。
162|传染科| 疟疾|附子犬肉|狗肉250克、熟附子12克。|将二者煮透。加少量调味品热服。|疟疾。
163|传染科| 疟疾|盐卤鸡蛋饼|盐卤15毫升、鸡蛋2个。|将盐卤放铁勺内，以烈火煮沸，打入鸡蛋，反复搅拌，直至鸡蛋成饼状为止，趁热服下。|疟疾。
164|传染科| 疟疾|蛋清酒饮子|鲜鸡蛋清3个、白酒50毫升。|将蛋清入白酒中，搅匀一次服下，间隔1天服1次。连用5次。|疟疾。
165|传染科| 疟疾|猪油炖甲鱼|甲鱼1个，|将甲鱼去内脏。用猪油炖，放少许食盐。空腹食。|疟疾。
166|传染科| 疟疾|鸭枣汤|鸭子1只、大枣10个、生姜10克。|将鸭去毛及内脏，放入大枣，加姜及盐、酒和少量油炖汤服。每日1次，连用3天。|疟疾。
167|传染科| 疟疾|苏菖鲫鱼汤|鲫鱼150克、苏叶、菖蒲、陈皮各5克。|将鱼洗净去内脏，与药共煮汤。饮汤食鱼，每日1剂，连用1周。|疟疾。
168|传染科| 疟疾|红豆鲤鱼汤|鲤鱼250克、红枣20个、生姜30克、红豆80克。|先将红豆泡发，红枣去核，姜切丝，鱼去鱗及内脏。将几味一同放入泡豆汤中煮，淡调味趁热空腹食。连用5剂。|疟疾。
169|传染科| 疟疾|山甲肉汤|穿山甲肉250克。|将肉炖汤食服。每日1剂，分3次饭前服用|疟疾。
170|传染科| 疟疾|截疟蒜散|独头大蒜适量。|将蒜放白炭上烧，研细末，每日3次，每次取15克。|疟疾。
171|传染科|寄生虫|瓜仁丸|黑生丝瓜子适量。|将子去皮取仁，空腹温水送服。每次50粒，每日食1次。|蛔虫。
172|传染科|寄生虫|葱汁油饮子|葱白1把、食用油20克。|将葱洗净切碎，捣烂绞汁。调麻油或菜油20克。空腹服下。每日2次，连服3天。|蛔虫。
